context_short,context_hi,context,context_trans,context_coloc,context_qr,context_broad,context_snsQTL,fill_color,font_color
Oli caQTL,Oli_snATAC,ROSMAP_snATAC_Kelis_Oli,,,,Oli_snATAC,,#c1d7de,black
W,GWAS,AD_Wightman_Excluding23andMe_2021,,AD_Wightman_Excluding23andMe_2021,,GWAS,,#fcfcfc,#cc5d12
W,GWAS,AD_Wightman_ExcludingUKBand23andME_2021,,AD_Wightman_ExcludingUKBand23andME_2021,,GWAS,,#fcfcfc,#cc5d12
W,GWAS,AD_Wightman_Full_2021,,AD_Wightman_Full_2021,,GWAS,,#fcfcfc,#cc5d12
bMac eQTL,bulk_macrophage_eQTL,STARNET_eQTL_Mac,STARNET_eQTL,,,bulk_macrophage_eQTL,,#faa7e0,black
bMic eQTL,bulk_microglia_eQTL,MiGA_GFM_eQTL,,MIGA_GFM,,bulk_microglia_eQTL,,#fae1f9,black
bMic eQTL,bulk_microglia_eQTL,MiGA_GTS_eQTL,,MIGA_GTS,,bulk_microglia_eQTL,,#fae1f9,black
bMic eQTL,bulk_microglia_eQTL,MiGA_SVZ_eQTL,,MIGA_SVZ,,bulk_microglia_eQTL,,#fae1f9,black
bMic eQTL,bulk_microglia_eQTL,MiGA_THA_eQTL,,MIGA_THA,,bulk_microglia_eQTL,,#fae1f9,black
bMono eQTL,bulk_monocyte_eQTL,monocyte_ROSMAP_eQTL,ROSMAP_DeJager_eQTL_Monocyte,ROSMAP_Monocyte,ROSMAP_monocyte_eQTL,bulk_monocyte_eQTL,,#751c9c,white
bulk gpQTL,bulk_brain_gpQTL,DLPFC_Klein_gpQTL_adjusted,ROSMAP_adjusted_gpQTL,,,bulk_brain_gpQTL,,#4f4d4f,white
bulk gpQTL,bulk_brain_gpQTL,DLPFC_Klein_gpQTL_unadjusted,ROSMAP_gpQTL,DLPFC_Klein_gpQTL,,bulk_brain_gpQTL,,#4f4d4f,white
bulk haQTL,bulk_brain_haQTL,ROSMAP_DLPFC_haQTL,,haQTL,,bulk_brain_haQTL,,#6bfa6e,black
bulk mQTL,bulk_brain_mQTL,KnightADRC_mQTL,,,,bulk_brain_mQTL,,#0d5218,white
bulk mQTL,bulk_brain_mQTL,MSBB_mQTL,,,,bulk_brain_mQTL,,#0d5218,white
bulk mQTL,bulk_brain_mQTL,ROSMAP_DLPFC_mQTL,,,,bulk_brain_mQTL,,#0d5218,white
metabolome,metabolome,metabolome,,,,metabolome,,,
bulk pQTL,bulk_brain_pQTL,DLPFC_Bennett_pQTL,ROSMAP_pQTL,DLPFC_Bennett_pQTL,ROSMAP_DLPFC_Bennett_pQTL,bulk_brain_pQTL,,#6b696b,white
bulk pQTL,bulk_brain_pQTL,Knight_pQTL_brain,Knight_pQTL,KNIGHT_pQTL,Knight_pQTL,bulk_brain_pQTL,,#6b696b,white
bulk pQTL,bulk_brain_pQTL,MSBB_BM36_pQTL,MSBB_pQTL_BM36,MSBB_pQTL_BM_36,MSBB_BM36_pQTL,bulk_brain_pQTL,,#6b696b,white
bulk sQTL,bulk_brain_sQTL,ROSMAP_AC_sQTL,,AC_lf2_sQTL,,bulk_brain_sQTL,,#9c9a9c,black
bulk sQTL,bulk_brain_sQTL,ROSMAP_DLPFC_sQTL,,DLPFC_lf2_sQTL,,bulk_brain_sQTL,,#9c9a9c,black
bulk sQTL,bulk_brain_sQTL,ROSMAP_PCC_sQTL,,PCC_lf2_sQTL,,bulk_brain_sQTL,,#9c9a9c,black
bulk u-sQTL,bulk_brain_u_sQTL,ROSMAP_AC_u_sQTL,,AC_lf2_sQTL,,bulk_brain_u_sQTL,,#baa9ba,black
bulk u-sQTL,bulk_brain_u_sQTL,ROSMAP_DLPFC_u_sQTL,,DLPFC_lf2_sQTL,,bulk_brain_u_sQTL,,#baa9ba,black
bulk u-sQTL,bulk_brain_u_sQTL,ROSMAP_PCC_u_sQTL,,PCC_lf2_sQTL,,bulk_brain_u_sQTL,,#baa9ba,black
bulk p-sQTL,bulk_brain_p_sQTL,ROSMAP_AC_p_sQTL,,AC_lf2_sQTL,,bulk_brain_p_sQTL,,#b5b8b4,black
bulk p-sQTL,bulk_brain_p_sQTL,ROSMAP_DLPFC_p_sQTL,,DLPFC_lf2_sQTL,,bulk_brain_p_sQTL,,#b5b8b4,black
bulk p-sQTL,bulk_brain_p_sQTL,ROSMAP_PCC_p_sQTL,,PCC_lf2_sQTL,,bulk_brain_p_sQTL,,#b5b8b4,black
B,GWAS,AD_Bellenguez_EADI_2022,,,,GWAS,,#fcfcfc,#299da6
Exc sQTL,Exc_sQTL,Exc_Mega_sQTL,,,,Exc_sQTL,Excitatory,#D5F2CE,black
Inh sQTL,Inh_sQTL,Inh_Mega_sQTL,,,,Inh_sQTL,Inhibitory,#CED5F2,black
Ast sQTL,Ast_sQTL,Ast_Mega_sQTL,,,,Ast_sQTL,astrocytes,#F0E4B4,black
Mic sQTL,Mic_sQTL,Mic_Mega_sQTL,,,,Mic_sQTL,microglia,#F7D7CD,black
Oli sQTL,Oli_sQTL,Oli_Mega_sQTL,,,,Oli_sQTL,oligodendrocyte,#F2CEF1,black
OPC sQTL,OPC_sQTL,OPC_Mega_sQTL,,,,OPC_sQTL,OPC,#EBCEF2,black
